INFO: [HLS 200-0] Workspace /home/krueger/cs5222/projects/project2/cs5222-lab-fpga-mlp/zynq/build/accel/solution0 opened at Sat Mar 14 15:50:44 UTC 2020
INFO: [HLS 200-100] Command     open_solution returned 0; 0.01 sec.
INFO: [HLS 200-100] Execute     set_part xc7z020clg484-1 
INFO: [HLS 200-100] Execute       add_library xilinx/zynq/zynq:xc7z020:clg484:-1 
INFO: [HLS 200-100] Execute         get_default_platform 
INFO: [HLS 200-100] Command         get_default_platform returned 0; 0 sec.
INFO: [HLS 200-100] Execute         license_isbetapart xc7z020 
INFO: [HLS 200-100] Command         license_isbetapart returned 1; 0.01 sec.
INFO: [HLS 200-100] Execute         open_platform DefaultPlatform 
INFO: [HLS 200-100] Command         open_platform returned 0; 0 sec.
INFO: [HLS 200-100] Execute         import_lib /home/krueger/vivado-2017-1/Vivado_HLS/2017.1/common/technology/xilinx/zynq/zynq 
INFO: [HLS 200-100] Execute           source /home/krueger/vivado-2017-1/Vivado_HLS/2017.1/common/technology/xilinx/common/xilinx.lib 
INFO: [HLS 200-100] Execute             source /home/krueger/vivado-2017-1/Vivado_HLS/2017.1/common/technology/xilinx/interface/xilinx_interface.lib 
INFO: [HLS 200-100] Execute               source /home/krueger/vivado-2017-1/Vivado_HLS/2017.1/common/technology/xilinx/interface/plb46.lib 
INFO: [HLS 200-100] Command               ap_source returned 0; 0 sec.
INFO: [HLS 200-100] Execute               source /home/krueger/vivado-2017-1/Vivado_HLS/2017.1/common/technology/xilinx/interface/fsl.lib 
INFO: [HLS 200-100] Command               ap_source returned 0; 0 sec.
INFO: [HLS 200-100] Execute               source /home/krueger/vivado-2017-1/Vivado_HLS/2017.1/common/technology/xilinx/interface/axi4.lib 
INFO: [HLS 200-100] Command               ap_source returned 0; 0 sec.
INFO: [HLS 200-100] Execute               source /home/krueger/vivado-2017-1/Vivado_HLS/2017.1/common/technology/xilinx/interface/maxi.lib 
INFO: [HLS 200-100] Command               ap_source returned 0; 0 sec.
INFO: [HLS 200-100] Execute               source /home/krueger/vivado-2017-1/Vivado_HLS/2017.1/common/technology/xilinx/interface/saxilite.lib 
INFO: [HLS 200-100] Command               ap_source returned 0; 0 sec.
INFO: [HLS 200-100] Command             ap_source returned 0; 0 sec.
INFO: [HLS 200-100] Execute             source /home/krueger/vivado-2017-1/Vivado_HLS/2017.1/common/technology/xilinx/common/dsp48.lib 
INFO: [HLS 200-100] Command             ap_source returned 0; 0 sec.
INFO: [HLS 200-100] Execute             source /home/krueger/vivado-2017-1/Vivado_HLS/2017.1/common/technology/xilinx/ip/dds_compiler.lib 
INFO: [HLS 200-100] Command             ap_source returned 0; 0 sec.
